kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.4,0.9259259259259259,0.4647058823529412,0.6666666666666666,0.25,0.09676117980939414,0.0,0.42105263157894735,0.7049180327868853,0.0,0.3562469867396971,0.9969059405940595,0.9029994388457295,0.0,0.9987631416202845
1.0,0.9894179894179894,0.8058252427184466,0.6666666666666666,0.4166666666666667,0.703573337558699,0.8484848484848485,0.912280701754386,0.5737704918032787,1.0,0.5648018353582507,1.0,0.9510141259186263,0.0006184291898577613,1.0
0.5,0.9920634920634921,0.6147540983606558,1.0,0.2916666666666667,0.9032388201914219,0.8484848484848485,0.912280701754386,0.21311475409836064,1.0,0.0,0.9877049180327869,0.9996832649308814,0.0018552875695732839,0.9877551020408163
0.1,0.0,0.0346153846153846,1.0,0.25,0.09676121022468809,0.0,0.42105263157894735,0.7213114754098361,0.0,0.3292805246949294,0.9969059405940595,0.916421152826225,0.0,0.9938157081014224
0.0,0.9338624338624338,0.0346153846153846,1.0,0.25,0.09676445291914193,0.0,0.42105263157894735,0.6065573770491803,0.0,0.36404973190609624,0.968440594059406,0.852118847630622,0.0,1.0
0.0,0.6931216931216931,0.0346153846153846,1.0,0.4166666666666667,0.09676117980857768,0.0,0.42105263157894735,0.26229508196721313,0.0,0.28598685062128537,0.974009900990099,0.987000531343317,0.0,0.9517625231910947
0.0,0.9708994708994709,0.19417475728155342,0.6666666666666666,0.2916666666666667,0.3577571166918495,0.0,0.42105263157894735,0.6229508196721312,0.0,0.3635270167214616,0.9931930693069307,0.7992270680373136,0.0,0.9981447124304267
0.0,0.0,0.0346153846153846,1.0,0.25,0.09676117980857779,0.0,0.42105263157894735,0.3442622950819672,0.0,0.38369788902472757,0.9702970297029703,0.9724784194517798,0.0,0.9802102659245516
0.0,1.0,0.1143790849673203,1.0,0.4166666666666667,0.09676117980862076,0.0,0.42105263157894735,0.4262295081967213,0.0,0.36758298461105143,0.9727722772277227,0.9482933895558077,0.0,0.9863945578231292
0.0,0.0,0.0346153846153846,1.0,0.25,0.09676117980858134,0.0,0.42105263157894735,0.45901639344262296,0.0,0.16306103701094643,0.9579207920792079,0.9381141653737302,0.0,0.9969078540507111
0.1,0.0,0.0346153846153846,1.0,0.25,0.09676117980858034,0.0,0.42105263157894735,0.45901639344262296,0.0,0.015434978660487486,0.995049504950495,0.9251476116979902,0.0,0.9925788497217068
0.0,0.6878306878306879,0.0346153846153846,1.0,0.3333333333333333,0.09676117980857779,0.0,0.42105263157894735,0.26229508196721313,0.0,0.040694102625926654,0.9925742574257426,0.9912717292774493,0.0,0.9857761286332715
0.0,0.7063492063492063,0.0346153846153846,1.0,0.4583333333333333,0.09676117980857768,0.0,0.42105263157894735,0.47540983606557374,0.0,0.39607413229343724,0.9863861386138614,0.9637983085801866,0.0,0.9931972789115646
0.1,0.9338624338624338,0.19417475728155342,0.6666666666666666,0.25,0.3577916610029481,0.0,0.42105263157894735,0.819672131147541,0.0,0.44045081113684736,0.995049504950495,0.7493619452524155,0.0,0.9987631416202845
0.7,0.9894179894179894,0.8058252427184466,0.6666666666666666,0.16666666666666666,0.9032388201914204,0.8484848484848485,0.912280701754386,0.39344262295081966,0.0,0.33145076501741166,0.9918032786885246,0.9808565707271474,0.0,0.9918367346938776
0.0,0.0,0.0346153846153846,1.0,0.25,0.09676117980857779,0.0,0.42105263157894735,0.39344262295081966,0.0,0.2380720374173766,0.9306930693069306,0.9710637799217815,0.0,0.9542362399505256
0.0,0.6931216931216931,0.0346153846153846,1.0,0.4166666666666667,0.09676117980857779,0.0,0.42105263157894735,0.4262295081967213,0.0,0.08167757635058781,0.9845297029702971,0.9786286812295797,0.0,0.9709338280766853
0.0,0.9021164021164021,0.1143790849673203,1.0,0.5416666666666666,0.09676117980858001,0.0,0.42105263157894735,0.4426229508196721,0.0,0.31582192452504865,0.9801980198019802,0.9559056913972582,0.0,0.9833024118738405
0.0,0.9947089947089947,0.38524590163934425,1.0,0.5,0.09676117980857812,0.0,0.42105263157894735,0.14754098360655737,0.0,0.36649021375485047,0.9863861386138614,0.9956823000991406,0.0,0.9981447124304267
0.6,0.9894179894179894,0.38524590163934425,1.0,0.3333333333333333,0.09676117980858878,0.0,0.42105263157894735,0.2786885245901639,0.5,0.46413601918658,0.9993811881188119,0.9856451705154002,0.00816326530612245,1.0
0.0,0.8518518518518519,0.1143790849673203,1.0,0.6666666666666666,0.0967611798085799,0.0,0.42105263157894735,0.4262295081967213,0.0,0.3010413225910529,0.9814356435643564,0.9703732767356644,0.0,0.9764996907854051
0.0,0.7063492063492063,0.0346153846153846,1.0,0.4583333333333333,0.09676117980857757,0.0,0.42105263157894735,0.29508196721311475,0.0,0.05012602764084906,0.9870049504950495,0.9703621247374565,0.0,0.9913419913419913
0.0,0.8201058201058201,0.1143790849673203,1.0,0.375,0.09676117980857779,0.0,0.42105263157894735,0.6885245901639344,0.0,0.37499799629731534,0.9814356435643564,0.8944381469698901,0.0,0.9950525664811379
0.3,0.955026455026455,0.0346153846153846,1.0,0.7916666666666666,0.09676117980857812,0.0,0.42105263157894735,0.2786885245901639,0.0,0.49886714817947553,0.9987623762376238,0.9925415890110274,0.0,0.9931972789115646
0.0,0.0,0.0346153846153846,1.0,0.25,0.09676117980857768,0.0,0.42105263157894735,0.3442622950819672,0.0,0.0999311570687964,0.9498762376237624,0.9688093360543911,0.0,0.9455782312925171
0.1,0.9682539682539683,0.1143790849673203,1.0,0.2916666666666667,0.3577916429486957,0.0,0.42105263157894735,0.8032786885245902,0.0,0.45878190954720866,0.9975247524752475,0.8476430351920767,0.0,0.9993815708101422
0.5,0.9259259259259259,0.4647058823529412,0.6666666666666666,0.25,0.3577916610029481,0.0,0.42105263157894735,0.7704918032786885,0.0,0.45801607339920536,0.9987623762376238,0.8071695225539901,0.00816326530612245,1.0
0.2,0.9417989417989419,0.0346153846153846,1.0,0.5416666666666666,0.09676117980857757,0.0,0.42105263157894735,0.4426229508196721,0.0,0.3591191896806989,0.9981435643564357,0.9962477039917255,0.0,0.9962894248608535
0.9,0.9973544973544973,0.9653846153846154,1.0,0.4583333333333333,0.9032388201673948,0.8484848484848485,0.912280701754386,0.2786885245901639,1.0,0.5469263764136443,1.0,0.9738729986621536,0.0006184291898577613,1.0
0.0,0.873015873015873,0.1143790849673203,1.0,0.20833333333333334,0.3577916610029481,0.0,0.42105263157894735,0.7868852459016393,0.0,0.4126292737877958,0.9925742574257426,0.7582749349116651,0.0,0.9987631416202845
0.0,0.8201058201058201,0.0346153846153846,1.0,0.25,0.09676117980858623,0.0,0.42105263157894735,0.4426229508196721,0.0,0.32138459761344795,0.9931930693069307,0.9587296639941388,0.0,0.9845392702535559
0.2,0.9259259259259259,0.0346153846153846,1.0,0.5416666666666666,0.09676117980857823,0.0,0.42105263157894735,0.4918032786885246,0.0,0.4614183646591401,0.9987623762376238,0.980645545328394,0.0,0.9993815708101422
0.1,0.0,0.0346153846153846,1.0,0.25,0.09676117981700993,0.0,0.42105263157894735,0.5245901639344263,0.0,0.4759383313389669,0.9987623762376238,0.9306160926505348,0.0,0.9907235621521335
0.0,0.9576719576719577,0.0346153846153846,1.0,0.4583333333333333,0.09676117980859966,0.0,0.42105263157894735,0.4098360655737705,0.0,0.39231011835666274,0.9771039603960396,0.911336378982874,0.0,0.9944341372912802
0.0,0.9338624338624338,0.19417475728155342,0.6666666666666666,0.25,0.0967774809700267,0.0,0.42105263157894735,0.7213114754098361,0.0,0.419783262055215,0.9938118811881188,0.8717030699727588,0.0,0.9956709956709957
0.0,0.8201058201058201,0.1143790849673203,1.0,0.375,0.0967731097659954,0.0,0.42105263157894735,0.5409836065573771,0.0,0.39679464751191373,0.974009900990099,0.88734350768231,0.0,0.9993815708101422
0.1,0.9841269841269842,0.1143790849673203,1.0,0.375,0.09676117980952603,0.0,0.42105263157894735,0.5901639344262295,0.0,0.4318152049912761,0.9969059405940595,0.947083614053946,0.0,0.9987631416202845
0.0,0.9708994708994709,0.0346153846153846,1.0,0.2916666666666667,0.09676117980857768,0.0,0.42105263157894735,0.39344262295081966,0.0,0.11731542643008475,0.9387376237623762,0.9584770353846727,0.0,0.9418676561533704
0.1,0.9259259259259259,0.0346153846153846,1.0,0.5416666666666666,0.09676117980857768,0.0,0.42105263157894735,0.3114754098360656,0.0,0.4063107819269297,0.9969059405940595,0.9937996392695794,0.0,0.9758812615955473
0.0,0.7063492063492063,0.0346153846153846,1.0,0.4583333333333333,0.09676117980857768,0.0,0.42105263157894735,0.4262295081967213,0.0,0.36953100059348465,0.9721534653465347,0.9632651791305109,0.0,0.9703153988868275
0.0,0.9470899470899471,0.19417475728155342,0.6666666666666666,0.3333333333333333,0.096761179832075,0.0,0.42105263157894735,0.5409836065573771,0.0,0.3639920004567575,0.9870049504950495,0.9199324098140329,0.0,0.9907235621521335
0.0,0.6878306878306879,0.0346153846153846,1.0,0.3333333333333333,0.09676117980857812,0.0,0.42105263157894735,0.14754098360655737,0.0,0.0,0.9845297029702971,0.9967381904705324,0.0,0.9758812615955473
1.0,0.9973544973544973,0.9653846153846154,1.0,0.25,0.9032388195578956,0.8484848484848485,0.912280701754386,0.2786885245901639,0.5,0.6099686589062571,1.0,0.9777338777376571,0.0030921459492888066,0.9959183673469387
